路口攝像頭位置,應用/VI,細部描述,安裝位置高度限制,InterLux作法,傳統做法
交通狀況數據與分析,紅綠燈狀態數據,每個方向的綠燈時長,,,
,信號時間,每個方向紅綠燈交替的時間長度,,,
,路口平均速度及物體移動速度,計算每輛車的平均速度和加速度等。,,,
,紅燈等待車輛計數,車輛在路口等待的數量,,,
,路口等待時間,車輛在路口等待的時間,,,
,路口疏導量,路口通過的車輛數量和轉彎率等，可用於計算道路容量和車輛流動性。,,,
,斑馬線行人計數,行人穿越道偵測，可配合燈號，提供警示及人流計數,,,
,人車流量計數(各方向),十字路口各方向車流人流統計,,,
,車種分類統計+車牌紀錄,偵測與紀錄通過車輛資訊,,,
,路口擁塞,擁塞判斷回報,,,
,道路散落物,路口危險警示通報,,,
,事故偵測統計紀錄(拍照),紀錄路口的事故數量，並計算不同時間和地點的事故率，提高安全性。,,,
,路口安全事件,斑馬線行人穿越,,,
,,車輛左右轉,,,
,,行人或年長穿越,,,
,,正對向來車,,,
,,十字路口擁塞,,,
,,道路散落物,,,
,,前方事故,,,
,違規行為事件,未禮讓行人,,,
,,機車/自行車行駛斑馬線,,,
,,超速偵測,,,
,,闖紅燈,,,
,,跨越雙黃雙白線,,,
,,違規變換車道,,,
,,紅燈汽車進入停等區,,,
,,後方車輛等待數量,,,
,,違規左右轉,,,
,,路邊違停,,,
